
year,mm-dd,location,parameter,unit,datatype,value
2015,1-5,LWG,spill,kcfs,Spill,0.000
2015,1-6,LWG,spill,kcfs,Spill,0.000
2015,1-7,LWG,spill,kcfs,Spill,0.000
2015,1-8,LWG,spill,kcfs,Spill,0.000
2015,1-9,LWG,spill,kcfs,Spill,0.000
2015,1-10,LWG,spill,kcfs,Spill,0.000
2015,1-11,LWG,spill,kcfs,Spill,0.000
2015,1-12,LWG,spill,kcfs,Spill,0.000
2015,1-13,LWG,spill,kcfs,Spill,0.000
2015,1-14,LWG,spill,kcfs,Spill,0.000
2015,1-15,LWG,spill,kcfs,Spill,0.000
2015,1-16,LWG,spill,kcfs,Spill,0.000
2015,1-17,LWG,spill,kcfs,Spill,0.000
2015,1-18,LWG,spill,kcfs,Spill,0.000
2015,1-19,LWG,spill,kcfs,Spill,0.000
2015,1-20,LWG,spill,kcfs,Spill,0.000
2015,1-21,LWG,spill,kcfs,Spill,0.000
2015,1-22,LWG,spill,kcfs,Spill,0.000
2015,1-23,LWG,spill,kcfs,Spill,0.000
2015,1-24,LWG,spill,kcfs,Spill,0.000
2015,1-25,LWG,spill,kcfs,Spill,0.000
2015,1-26,LWG,spill,kcfs,Spill,0.000
2015,1-27,LWG,spill,kcfs,Spill,0.000
2015,1-28,LWG,spill,kcfs,Spill,0.000
2015,1-29,LWG,spill,kcfs,Spill,0.000
2015,1-30,LWG,spill,kcfs,Spill,0.000
2015,1-31,LWG,spill,kcfs,Spill,0.000
2015,2-1,LWG,spill,kcfs,Spill,0.000
2015,2-2,LWG,spill,kcfs,Spill,0.000
2015,2-3,LWG,spill,kcfs,Spill,0.000
2015,2-4,LWG,spill,kcfs,Spill,0.000
2015,2-5,LWG,spill,kcfs,Spill,0.000
2015,2-6,LWG,spill,kcfs,Spill,0.000
2015,2-7,LWG,spill,kcfs,Spill,0.000
2015,2-8,LWG,spill,kcfs,Spill,0.000
2015,2-9,LWG,spill,kcfs,Spill,0.000
2015,2-10,LWG,spill,kcfs,Spill,7.238
2015,2-11,LWG,spill,kcfs,Spill,0.000
2015,2-12,LWG,spill,kcfs,Spill,0.000
2015,2-13,LWG,spill,kcfs,Spill,0.000
2015,2-14,LWG,spill,kcfs,Spill,0.000
2015,2-15,LWG,spill,kcfs,Spill,0.000
2015,2-16,LWG,spill,kcfs,Spill,0.000
2015,2-17,LWG,spill,kcfs,Spill,0.071
2015,2-18,LWG,spill,kcfs,Spill,0.000
2015,2-19,LWG,spill,kcfs,Spill,0.000
2015,2-20,LWG,spill,kcfs,Spill,0.000
2015,2-21,LWG,spill,kcfs,Spill,0.000
2015,2-22,LWG,spill,kcfs,Spill,0.000
2015,2-23,LWG,spill,kcfs,Spill,0.000
2015,2-24,LWG,spill,kcfs,Spill,0.000
2015,2-25,LWG,spill,kcfs,Spill,0.000
2015,2-26,LWG,spill,kcfs,Spill,0.000
2015,2-27,LWG,spill,kcfs,Spill,0.000
2015,2-28,LWG,spill,kcfs,Spill,0.000
2015,3-1,LWG,spill,kcfs,Spill,0.000
2015,3-2,LWG,spill,kcfs,Spill,0.000
2015,3-3,LWG,spill,kcfs,Spill,0.000
2015,3-4,LWG,spill,kcfs,Spill,0.000
2015,3-5,LWG,spill,kcfs,Spill,0.000
2015,3-6,LWG,spill,kcfs,Spill,0.000
2015,3-7,LWG,spill,kcfs,Spill,0.000
2015,3-8,LWG,spill,kcfs,Spill,0.000
2015,3-9,LWG,spill,kcfs,Spill,0.000
2015,3-10,LWG,spill,kcfs,Spill,0.000
2015,3-11,LWG,spill,kcfs,Spill,0.000
2015,3-12,LWG,spill,kcfs,Spill,0.000
2015,3-13,LWG,spill,kcfs,Spill,0.000
2015,3-14,LWG,spill,kcfs,Spill,0.000
2015,3-15,LWG,spill,kcfs,Spill,0.000
2015,3-16,LWG,spill,kcfs,Spill,0.000
2015,3-17,LWG,spill,kcfs,Spill,0.000
2015,3-18,LWG,spill,kcfs,Spill,0.000
2015,3-19,LWG,spill,kcfs,Spill,0.000
2015,3-20,LWG,spill,kcfs,Spill,0.000
2015,3-21,LWG,spill,kcfs,Spill,0.000
2015,3-22,LWG,spill,kcfs,Spill,0.000
2015,3-23,LWG,spill,kcfs,Spill,0.000
2015,3-24,LWG,spill,kcfs,Spill,0.000
2015,3-25,LWG,spill,kcfs,Spill,0.000
2015,3-26,LWG,spill,kcfs,Spill,0.000
2015,3-27,LWG,spill,kcfs,Spill,0.000
2015,3-28,LWG,spill,kcfs,Spill,0.000
2015,3-29,LWG,spill,kcfs,Spill,0.000
2015,3-30,LWG,spill,kcfs,Spill,0.000
2015,3-31,LWG,spill,kcfs,Spill,0.000
2015,4-1,LWG,spill,kcfs,Spill,0.000
2015,4-2,LWG,spill,kcfs,Spill,0.000
2015,4-3,LWG,spill,kcfs,Spill,19.358
2015,4-4,LWG,spill,kcfs,Spill,20.183
2015,4-5,LWG,spill,kcfs,Spill,20.108
2015,4-6,LWG,spill,kcfs,Spill,20.183
2015,4-7,LWG,spill,kcfs,Spill,20.196
2015,4-8,LWG,spill,kcfs,Spill,20.217
2015,4-9,LWG,spill,kcfs,Spill,20.196
2015,4-10,LWG,spill,kcfs,Spill,20.167
2015,4-11,LWG,spill,kcfs,Spill,20.133
2015,4-12,LWG,spill,kcfs,Spill,20.196
2015,4-13,LWG,spill,kcfs,Spill,20.171
2015,4-14,LWG,spill,kcfs,Spill,20.254
2015,4-15,LWG,spill,kcfs,Spill,20.183
2015,4-16,LWG,spill,kcfs,Spill,20.188
2015,4-17,LWG,spill,kcfs,Spill,20.229
2015,4-18,LWG,spill,kcfs,Spill,20.158
2015,4-19,LWG,spill,kcfs,Spill,20.179
2015,4-20,LWG,spill,kcfs,Spill,20.233
2015,4-21,LWG,spill,kcfs,Spill,20.267
2015,4-22,LWG,spill,kcfs,Spill,20.296
2015,4-23,LWG,spill,kcfs,Spill,20.371
2015,4-24,LWG,spill,kcfs,Spill,20.292
2015,4-25,LWG,spill,kcfs,Spill,20.446
2015,4-26,LWG,spill,kcfs,Spill,20.317
2015,4-27,LWG,spill,kcfs,Spill,20.342
2015,4-28,LWG,spill,kcfs,Spill,20.258
2015,4-29,LWG,spill,kcfs,Spill,20.242
